benchmark confidence_hi confidence_lo cores inputsize label label1core mean mean1core median offset slowdown slowdown_wcet stdev wcet wcet1core
sdvbsdisparity 8958746.387755102 8933174.653061224 3.0 128 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK2_INPUTSIZE128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 8945995.836734693 7156969.224489796 8949689.0 0.0 1.2499698623997413 1.251356899835317 45975.24250087705 9052949.0 7234506.0
sdvbsdisparity 10994088.88372093 10956101.372093024 4.0 128 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK2_INPUTSIZE128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 10969092.53488372 7156969.224489796 10965062.0 0.0 1.5326449214493698 1.5552214622532623 58411.18119616231 11251259.0 7234506.0
sdvbsdisparity 11084934.918367347 11025209.959183674 2.0 160 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK2_INPUTSIZE160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 11055134.142857144 10098204.469387755 11057122.0 0.0 1.0947623586321982 1.1111320888575988 106682.55383047245 11464452.0 10317812.0
sdvbsdisparity 11041557.0 10967526.0 2.0 160 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK2_INPUTSIZE160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 11041557.0 10098204.469387755 11041557.0 1.0 1.0934178480413994 1.0773202690647978 104695.6442360426 11115588.0 10317812.0
sdvbsdisparity 12632193.163265307 12561384.632653061 3.0 160 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK2_INPUTSIZE160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 12587153.469387755 10098204.469387755 12581953.0 0.0 1.2464744111237929 1.2795523895957785 120363.50688281412 13202181.0 10317812.0
sdvbsdisparity 12424268.0 12408614.0 3.0 160 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK2_INPUTSIZE160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 12424268.0 10098204.469387755 12424268.0 1.0 1.2303442693860676 1.2056744201193044 22138.099105388428 12439922.0 10317812.0
sdvbsdisparity 15152807.369863013 15087300.06849315 4.0 160 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK2_INPUTSIZE160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 15114972.369863013 10098204.469387755 15119706.0 0.0 1.4967980115359478 1.5267439453248421 140090.32775246043 15752657.0 10317812.0
sdvbsdisparity 18153519.224489797 17982288.42857143 2.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK2_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 18049552.30612245 16838087.653061226 18022613.0 0.0 1.0719478766248716 1.0746765908279459 295064.87587267713 19576902.0 18216552.0
sdvbsdisparity 18072196.5 18057839.0 2.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK2_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 18072196.5 16838087.653061226 18072196.5 1.0 1.0732926964371996 0.9928637428202659 20304.571221771712 18086554.0 18216552.0
sdvbsdisparity 20071638.36734694 19904504.714285713 3.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK2_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 19965904.30612245 16838087.653061226 19945680.0 0.0 1.1857584256305123 1.178713512853585 283453.55086358584 21472096.0 18216552.0
sdvbsdisparity 19904905.0 19870360.0 3.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK2_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 19904905.0 16838087.653061226 19904905.0 1.0 1.1821357276508306 1.0945787106143907 48854.00751217857 19939450.0 18216552.0
sdvbsdisparity 22458012.42857143 22298785.387755103 4.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK2_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 22349264.42857143 16838087.653061226 22340845.0 0.0 1.327304198022051 1.3036618016406178 258412.11151795267 23748223.0 18216552.0
sdvbsdisparity 22332217.5 22293452.0 4.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK2_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 22332217.5 16838087.653061226 22332217.5 1.0 1.3262917951338684 1.228058032057878 54822.69585217421 22370983.0 18216552.0
sdvbsdisparity 465342.0612244898 461832.612244898 2.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_WRITEATTACK1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 463617.6530612245 444268.0816326531 463926.0 0.0 1.0435538185805813 1.0222141507751097 6394.810749581209 475625.0 465289.0
sdvbsdisparity 448424.3333333333 441076.0 2.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_WRITEATTACK1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 445684.0 444268.0816326531 446679.0 1.0 1.0031870810123102 0.9656299633131237 4199.848687750548 449297.0 465289.0
sdvbsdisparity 481970.5306122449 477753.28571428574 3.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_WRITEATTACK1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 479769.0 444268.0816326531 478393.0 0.0 1.0799087754332555 1.0825143083116084 7725.544330876201 503682.0 465289.0
sdvbsdisparity 446330.3333333333 444394.0 3.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_WRITEATTACK1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 445668.0 444268.0816326531 446229.0 1.0 1.0031510667212515 0.9593628905905792 1105.9308296634108 446381.0 465289.0
sdvbsdisparity 522016.51020408166 516134.44897959183 4.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_WRITEATTACK1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 518843.387755102 444268.0816326531 518555.0 0.0 1.1678610487802548 1.1832194614529894 10689.664466624463 550539.0 465289.0
sdvbsdisparity 450184.5 449085.0 4.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_WRITEATTACK1_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 450184.5 444268.0816326531 450184.5 1.0 1.0133172258191596 0.9699004274762567 1554.927811829218 451284.0 465289.0
sdvbsdisparity 1960523.8163265307 1924449.775510204 2.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_WRITEATTACK1_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 1943021.5714285714 1569379.3469387756 1947040.0 0.0 1.238082797010564 1.3477967393611 63405.85943842257 2178456.0 1616309.0
