benchmark confidence_hi confidence_lo cores inputsize label label1core mean mean1core median offset slowdown slowdown_wcet stdev wcet wcet1core
sdvbsstitch 29971953.12 29620451.28 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29788724.72 29526844.224489797 29764865.0 10.0 1.00886923416262 1.0192423028018942 639384.7561006111 31462056.0 30868083.0
sdvbsstitch 30048490.28 29651216.2 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29840638.06 29526844.224489797 29825671.5 11.0 1.010627408507474 1.0292660221238876 720649.3963956716 31771469.0 30868083.0
sdvbsstitch 29935008.6 29630073.7 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29774410.88 29526844.224489797 29782527.0 12.0 1.008384460378765 1.01728763007408 557129.0925766594 31401719.0 30868083.0
sdvbsstitch 29797818.26 29474554.18 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29627204.26 29526844.224489797 29513560.0 13.0 1.0033989421540337 1.0048407929964422 585235.4847705376 31017509.0 30868083.0
sdvbsstitch 29918085.08 29543331.6 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29730686.88 29526844.224489797 29710847.0 14.0 1.006903638396315 1.016288021514002 687433.2757054514 31370863.0 30868083.0
sdvbsstitch 29789401.62 29414360.62 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29589787.54 29526844.224489797 29616438.0 15.0 1.0021317318922283 1.0203610959579188 678132.7557217873 31496591.0 30868083.0
sdvbsstitch 29900377.36 29616537.74 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29756903.96 29526844.224489797 29741307.0 16.0 1.0077915450009178 1.0054576761375171 509552.7520433359 31036551.0 30868083.0
sdvbsstitch 30216823.02631579 29817257.289473683 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 30030021.92105263 29526844.224489797 30068272.5 17.0 1.0170413638767903 1.0033354840985753 631540.5767519474 30971043.0 30868083.0
sdvbsstitch 30240585.2625 30018837.38125 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 30128824.45625 29526844.224489797 30133196.5 18.0 1.0203875574099082 1.0343290511432148 715410.0417125963 31927755.0 30868083.0
sdvbsstitch 30020214.61904762 29754722.598639455 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29887835.993197277 29526844.224489797 29992925.0 19.0 1.0122258838758011 1.0192217637875343 817445.3944662197 31461422.0 30868083.0
sdvbsstitch 29814486.25 29594337.6375 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29704150.2125 29526844.224489797 29639149.5 20.0 1.0060049081663507 1.0078518319391587 508087.76782384794 31110454.0 30868083.0
sdvbsstitch 29776767.16 29495372.74 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29639531.82 29526844.224489797 29684103.5 21.0 1.0038164456266796 0.9979797579266584 524898.7091139561 30805722.0 30868083.0
sdvbsstitch 30082558.0 30074274.0 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 30082558.0 29526844.224489797 30082558.0 22.0 1.0188206288245762 0.9748205614193793 11715.345150698718 30090842.0 30868083.0
